Código CNAE (3 digitos),CNAE (3 digitos),CNAE,Código CNAE
41.2,41.2 Construção de edifícios,4120-4/00 Construção de edifícios,4120-4/00
42.1,"42.1 Construção de rodovias, ferrovias, obras urbanas e obras-de-arte especiais",4211-1/01 Construção de rodovias e ferrovias,4211-1/01
42.1,"42.1 Construção de rodovias, ferrovias, obras urbanas e obras-de-arte especiais",4212-0/00 Construção de obras de arte especiais,4212-0/00
42.1,"42.1 Construção de rodovias, ferrovias, obras urbanas e obras-de-arte especiais","4213-8/00 Obras de urbanização - ruas, praças e calçadas",4213-8/00
42.2,"42.2 Obras de infra-estrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",4221-9/01 Construção de barragens e represas para geração de energia elétrica,4221-9/01
42.2,"42.2 Obras de infra-estrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",4221-9/02 Construção de estações e redes de distribuição de energia elétrica,4221-9/02
42.2,"42.2 Obras de infra-estrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",4221-9/04 Construção de estações e redes de telecomunicações,4221-9/04
42.2,"42.2 Obras de infra-estrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos","4222-7/01 Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação",4222-7/01
42.2,"42.2 Obras de infra-estrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos","4223-5/00 Construção de redes de transportes por dutos, exceto para água e esgoto",4223-5/00
42.9,42.9 Construção de outras obras de infra-estrutura,"4291-0/00 Obras portuárias, marítimas e fluviais",4291-0/00
42.9,42.9 Construção de outras obras de infra-estrutura,4299-5/01 Construção de instalações esportivas e recreativas,4299-5/01
42.9,42.9 Construção de outras obras de infra-estrutura,4299-5/99 Outras obras de engenharia civil não especificadas anteriormente,4299-5/99
43.1,43.1 Demolição e preparação do terreno,4311-8/01 Demolição de edifícios e outras estruturas,4311-8/01
43.9,43.9 Outros serviços especializados para construção,4391-6/00 Obras de fundações,4391-6/00
43.9,43.9 Outros serviços especializados para construção,4399-1/03 Obras de alvenaria,4399-1/03
43.9,43.9 Outros serviços especializados para construção,4399-1/05 Perfuração e construção de poços de água,4399-1/05
43.9,43.9 Outros serviços especializados para construção,4399-1/99 Serviços especializados para construção não especificados,4399-1/99
